COMMAND;POSITION CE16 (mm);POSITION MLT (pts)
2511,75000000012;0;75
2539,00000000021;0;75
2562,5;0;75
2586,00000000024;0;75
2609,50000000003;0;75
2632,75000000021;0;75
2656,25;0;75
2679,75000000024;0;75
2703,25000000003;0;75
2726,50000000021;0;75
2750;0;75
3451,70000000053;0;75
3503,40000000006;0;75
3554,55000000047;0;75
3606,25;0;75
3657,95000000053;0;75
3709,65000000006;0;75
3760,80000000047;0;75
3812,5;0;75
3864,20000000053;0;75
3915,90000000006;0;75
3950;0;75
4001,70000000053;0;75
4053,40000000006;0;75
4104,55000000047;0;75
4165,05000000079;0;75
4216,75000000032;0;75
4267,90000000074;0;75
4319,60000000026;0;75
4371,30000000079;0;75
4431,25;0;75
4482,95000000053;0;75
4430,69999999989;0;75
4328,39999999906;0;75
4225;0;75
4121,59999999894;0;75
4018,19999999989;0;75
3915,89999999906;0;75
3812,5;0;75
3691,49999999936;0;75
3589,19999999853;0;75
3519,89999999842;0;75
3416,49999999936;0;75
3349,29999999913;0;75
3288,19999999969;0;75
3227,09999999906;0;75
3165,99999999962;0;75
3105,54999999913;0;75
3044,44999999969;0;75
2983,34999999906;0;75
2922,24999999962;0;75
2861,79999999913;0;75
2800,69999999969;0;75
2741,99999999928;0;75
2694,99999999971;0;75
2648,49999999933;0;75
2601,49999999976;0;75
2554,49999999928;0;75
2507,49999999971;0;75
2460,99999999933;0;75
2405,99999999995;0;75
2359,49999999957;0;75
2312,5;0;75
2265,49999999952;0;75
2202,74999999992;0;75
2156,25;0;75
2085,74999999928;0;75
2015,24999999992;0;75
1945,49999999936;0;75
1875;0;75
1804,49999999928;0;75
1733,99999999992;0;75
1664,24999999936;0;75
1593,75;0;75
1523,24999999928;0;75
1468,49999999995;0;75
1421,99999999957;0;75
1375;0;75
1327,99999999952;0;75
1280,99999999995;0;75
1234,49999999957;0;75
1187,5;0;75
1140,49999999952;0;75
1093,49999999995;0;75
1046,99999999957;0;75
1000;0;75
952,99999999952;0;75
905,999999999949;0;75
859,499999999571;0;75
812,5;0;75
765,49999999952;0;75
718,499999999949;0;75
671,999999999571;0;75
625;0;75
577,99999999952;0;75
530,999999999949;0;75
531,000000000859;0;75
625;0;75
719,00000000096;0;75
813,000000000102;0;75
906,000000000859;0;75
1000;0;75
1094,00000000096;0;75
1188,0000000001;0;75
1281,00000000086;0;75
1344,00000000096;0;75
1438,0000000001;0;75
1523,25000000064;0;75
1605,75000000108;0;75
1676,25000000044;0;75
1746,000000001;0;75
1828,50000000008;0;75
1898,25000000064;0;75
1968,75;0;75
2039,25000000072;0;75
2109,75000000008;0;75
2156,25;0;75
2226,75000000072;0;75
2265,75000000003;0;75
2289,00000000021;0;75
2312,5;0;75
2336,00000000024;0;75
2359,50000000003;0;75
2382,75000000021;0;75
2406,25;0;75
2429,75000000024;0;75
2453,25000000003;0;75
2476,50000000021;0;75
2500;0;75
