COMMAND;POSITION CE16 (mm);POSITION MLT (pts)
2531,25;-2,92887029288695E-02;400
2531,25;-2,92887029288695E-02;400
2558,75000000015;-2,92887029288695E-02;400
2590,00000000015;-5,85774058577398E-02;400
2617,24999999933;-5,85774058577398E-02;401
2644,49999999852;-5,85774058577398E-02;400
2675,74999999852;-5,85774058577398E-02;400
2706,99999999852;-5,85774058577398E-02;401
2734,49999999866;-2,92887029288695E-02;400
2753,05500000039;-2,92887029288695E-02;401
2761,18000000039;-0,820083682008367;436
2769,30500000039;-1,31799163179916;450
2776,39000000017;-1,31799163179916;454
2784,51500000017;-1,40585774058577;454
2791,66500000021;-1,40585774058577;455
2798,75;-1,40585774058577;455
2805,90000000004;-1,49372384937238;456
2812,98499999983;-1,49372384937238;458
2821,10999999983;-1,58158995815899;458
2829,23499999983;-1,58158995815899;459
2836,31999999961;-1,61087866108787;461
2845,48499999983;-1,61087866108787;461
2853,60999999983;-1,72803347280335;463
2861,73499999983;-1,72803347280335;463
2869,85999999983;-1,72803347280335;463
2877,98499999983;-1,72803347280335;465
2886,10999999983;-1,78661087866109;465
2894,23499999983;-1,78661087866109;465
2902,35999999983;-1,90376569037657;468
2910,48499999983;-1,90376569037657;472
2918,60999999983;-1,90376569037657;472
2926,73499999983;-1,90376569037657;470
2934,85999999983;-1,90376569037657;472
2941,94499999961;-1,93305439330544;473
2949,09499999965;-1,93305439330544;474
2957,21999999965;-2,05020920502092;476
2965,34499999965;-2,05020920502092;477
2973,46999999965;-2,07949790794979;477
2981,59499999965;-2,1673640167364;481
2999,85999999983;-2,1673640167364;481
3007,98499999983;-2,25523012552301;482
3016,10999999983;-2,25523012552301;485
3024,23499999983;-2,25523012552301;485
3032,35999999983;-2,28451882845188;483
3039,44499999961;-2,28451882845188;487
3047,56999999961;-2,31380753138075;489
3062,84499999965;-2,37238493723849;489
3069,93000000039;-2,43096234309623;489
3078,05500000039;-2,43096234309623;491
3085,14000000017;-2,48953974895397;492
3093,26500000017;-2,48953974895397;492
3101,39000000017;-2,48953974895397;492
3108,54000000021;-2,54811715481171;492
3116,66500000021;-2,57740585774058;496
3127,84499999965;-2,57740585774058;498
3134,93000000039;-2,63598326359833;498
3142,01500000017;-2,63598326359833;499
3149,16500000021;-2,63598326359833;500
3156,25;-2,78242677824268;503
3163,40000000004;-2,78242677824268;503
3170,48499999983;-2,78242677824268;504
3177,56999999961;-2,75313807531381;505
3189,79000000021;-2,87029288702929;507
3196,875;-2,87029288702929;505
3204,02500000004;-2,87029288702929;508
3211,10999999983;-2,87029288702929;509
3218,19499999961;-2,87029288702929;509
3225,34499999965;-2,9581589958159;510
3232,43000000039;-2,9581589958159;512
3240,55500000039;-2,98744769874477;513
3247,64000000017;-2,98744769874477;514
3258,81999999961;-3,04602510460251;514
3265,96999999965;-3,04602510460251;517
3273,05500000039;-3,04602510460251;517
3280,14000000017;-3,10460251046025;518
3287,29000000021;-3,10460251046025;519
3294,375;-3,22175732217573;519
3301,52500000004;-3,22175732217573;521
3308,60999999983;-3,28033472803347;521
3315,69499999961;-3,28033472803347;523
3326,875;-3,28033472803347;525
3334,02500000004;-3,28033472803347;522
3341,10999999983;-3,28033472803347;526
3348,19499999961;-3,28033472803347;526
3355,34499999965;-3,33891213389121;527
3362,43000000039;-3,33891213389121;529
3369,51500000017;-3,36820083682008;531
3377,64000000017;-3,45606694560669;531
3384,79000000021;-3,45606694560669;532
3395,96999999965;-3,5439330543933;534
3402,72105263192;-3,5439330543933;534
3409,03157894752;-3,57322175732218;535
3415,40000000019;-3,57322175732218;536
3421,71052631579;-3,60251046025105;536
3428,07894736845;-3,60251046025105;536
3434,38947368406;-3,66108786610879;536
3441,62631578932;-3,69037656903766;540
3451,5842105265;-3,69037656903766;540
3457,89473684211;-3,7489539748954;541
3464,26315789477;-3,7489539748954;540
3471,50000000003;-3,80753138075314;543
3477,81052631563;-3,80753138075314;544
3484,12105263124;-3,80753138075314;544
3491,3578947365;-3,80753138075314;545
3497,72631578916;-3,80753138075314;545
3504,03684210561;-3,83682008368201;548
3513,99473684195;-3,86610878661088;549
3520,30526315755;-3,86610878661088;549
3526,67368421022;-3,95397489539749;550
3532,98421052666;-3,95397489539749;550
3539,29473684226;-3,98326359832636;552
3545,66315789493;-3,98326359832636;552
3551,97368421053;-3,98326359832636;553
3558,34210526319;-4,07112970711297;554
3564,65263157879;-4,07112970711297;554
3575,47894736858;-4,0418410041841;556
